threshold,n_accepted,n_correct,coverage,auto_routed_accuracy,accuracy_ci_lower,manual_review_rate,meets_requirement
0.47,4542,3986,0.9504080351537979,0.8775869660942316,0.8609999499245179,0.0495919648462021,False
0.48,4502,3966,0.9420380832810211,0.8809418036428254,0.8644618289886077,0.05796191671897888,False
0.49,4445,3939,0.9301109018623143,0.8861642294713161,0.8698701463493337,0.06988909813768573,False
0.5,4372,3903,0.9148357396944967,0.8927264409881062,0.8766803225530172,0.08516426030550328,False
0.51,4318,3875,0.9035363046662481,0.897406206577119,0.8815456837803425,0.09646369533375188,False
0.52,4272,3849,0.8939108600125549,0.9009831460674157,0.8852628779680066,0.10608913998744507,False
0.53,4217,3814,0.882402176187487,0.9044344320607066,0.8888353765124687,0.11759782381251305,False
0.54,4168,3780,0.8721489851433354,0.9069097888675623,0.8913829783640385,0.1278510148566646,False
0.55,4111,3749,0.8602218037246285,0.9119435660423255,0.8966586128238129,0.13977819627537147,False
0.56,4062,3716,0.8499686126804771,0.9148202855736091,0.8996484972945201,0.15003138731952292,False
0.57,4006,3670,0.8382506800585897,0.9161258112830754,0.9009397778036978,0.16174931994141029,True
0.58,3952,3634,0.8269512450303411,0.9195344129554656,0.9045004764372118,0.17304875496965888,True
0.59,3894,3589,0.8148148148148148,0.9216743708269132,0.9066912228851202,0.18518518518518523,True
0.6,3833,3548,0.8020506382088303,0.9256457083224628,0.9108611059503102,0.19794936179116973,True
0.61,3774,3501,0.7897049591964846,0.9276629570747218,0.9129262039106321,0.21029504080351535,True
0.62,3720,3462,0.778405524168236,0.9306451612903226,0.9160543264733247,0.22159447583176395,True
0.63,3662,3419,0.7662690939527098,0.9336428181321682,0.9191991948938224,0.2337309060472902,True
0.64,3611,3382,0.7555974053149195,0.9365826640819718,0.9223046288566237,0.24440259468508052,True
0.65,3551,3340,0.7430424775057544,0.9405801182765419,0.9265624897947229,0.25695752249424564,True
0.66,3493,3297,0.7309060472902281,0.9438877755511023,0.9300824849812459,0.2690939527097719,True
0.67,3431,3253,0.7179326218874241,0.9481200816088604,0.9346340773423092,0.2820673781125759,True
0.68,3366,3196,0.704331450094162,0.9494949494949495,0.9360216319578141,0.295668549905838,True
0.69,3321,3160,0.6949152542372882,0.9515206263173743,0.9381805851908438,0.30508474576271183,True
0.7,3256,3106,0.6813140824440259,0.9539312039312039,0.9407333033231975,0.3186859175559741,True
0.71,3194,3055,0.668340657041222,0.95648090169067,0.9434593685802699,0.33165934295877797,True
0.72,3120,2993,0.6528562460765851,0.9592948717948718,0.9464701362258234,0.3471437539234149,True
0.73,3055,2941,0.6392550742833228,0.9626841243862521,0.9501743495714757,0.36074492571667716,True
0.74,2981,2876,0.6237706633186859,0.9647769204964777,0.9523984150823612,0.3762293366813141,True
0.75,2919,2822,0.610797237915882,0.9667694415895854,0.9545458373500503,0.38920276208411797,True
0.76,2850,2762,0.5963590709353421,0.9691228070175438,0.957107174814376,0.40364092906465787,True
0.77,2761,2689,0.5777359280184139,0.9739224918507787,0.9625149144191303,0.4222640719815861,True
0.78,2688,2623,0.5624607658505963,0.9758184523809523,0.964588345276411,0.43753923414940366,True
0.79,2616,2556,0.5473948524795983,0.9770642201834863,0.9659011923958861,0.4526051475204017,True
0.8,2545,2492,0.5325381879054195,0.9791748526522593,0.9682679106188028,0.4674618120945805,True
0.81,2469,2421,0.5166352793471437,0.9805589307411907,0.9697602588973793,0.4833647206528563,True
0.82,2394,2354,0.5009416195856874,0.9832915622389307,0.9729372054354293,0.4990583804143126,True
0.83,2307,2272,0.482736974262398,0.9848287819679237,0.974636247871915,0.5172630257376021,True
0.84,2203,2173,0.4609750993931785,0.9863822060826146,0.9763303466700198,0.5390249006068215,True
0.85,2095,2066,0.4383762293366813,0.9861575178997614,0.9757296703774264,0.5616237706633187,True
0.86,1987,1960,0.41577735928018417,0.9864116758933065,0.9757176167084974,0.5842226407198159,True
0.87,1878,1858,0.39296924042686754,0.9893503727369543,0.9792309070099293,0.6070307595731325,True
0.88,1765,1748,0.36932412638627327,0.9903682719546743,0.9802158886593727,0.6306758736137268,True
0.89,1650,1634,0.34526051475204017,0.9903030303030304,0.9796792825227203,0.6547394852479598,True
0.9,1514,1501,0.3168026783845993,0.9914134742404227,0.9806412603535081,0.6831973216154007,True
0.91,1374,1367,0.28750784682988073,0.99490538573508,0.9851537291515476,0.7124921531701193,True
0.92,1215,1210,0.2542372881355932,0.9958847736625515,0.9858604356259575,0.7457627118644068,True
0.93,1032,1028,0.21594475831763968,0.9961240310077519,0.9849954718853935,0.7840552416823603,True
0.94,860,858,0.17995396526469973,0.9976744186046511,0.986211177735541,0.8200460347353002,True
0.95,667,666,0.139568947478552,0.9985007496251874,0.9852815886981029,0.860431052521448,True
0.96,459,459,0.096045197740113,1.0,0.9838024574178156,0.903954802259887,True
0.97,280,280,0.05858966310943712,1.0,0.9735853422236143,0.9414103368905629,True
0.98,141,141,0.029504080351537978,1.0,0.9482284052467245,0.970495919648462,True
0.99,50,50,0.010462439840970915,1.0,0.8607847215355104,0.989537560159029,False
